_id,isPB_1,isPB_2
48048297,0,0
48051647,1,1
48059123,0,0
48068013,1,1
48101576,0,0
48115671,0,0
48119473,0,0
48145456,0,1
48163362,0,0
48195979,0,0
48212123,0,0
48219522,0,0
48228722,0,0
48284427,0,0
48309631,1,1
48333210,0,0
48351883,1,0
48373685,0,0
48382398,0,0
48389174,0,0
48398229,1,1
48422869,0,0
48453143,0,0
48469779,0,0
48485373,1,1
48497407,0,0
48515492,0,0
48543654,0,0
48544953,0,0
48555290,0,0
48595512,0,0
48614529,0,1
48639348,0,1
48672130,1,1
48699556,0,0
48732540,1,1
48779293,1,1
48796264,1,0
48796619,1,1
48839618,0,0
48888507,0,0
48906570,1,1
48910590,1,1
48915279,1,1
49038854,0,0
49045172,0,0
49053434,1,1
49065432,0,0
49068494,0,0
49074817,0,0
49080605,0,0
49081129,1,1
49163592,1,1
49172221,0,1
49172643,0,0
49177834,0,0
49241401,1,1
49270477,1,1
49278571,0,0
49281664,1,0
49281676,0,0
49285911,1,1
49306552,0,1
49326558,1,1
49393659,0,0
49433840,0,0
49441748,1,0
49451799,0,1
49455932,0,0
49472402,0,0
49511529,1,1
49532371,1,1
49560533,1,1
49608626,0,0
49619627,0,0
49649186,0,1
49649291,0,1
49664523,1,1
49688535,0,0
49694836,1,0
49701918,0,0
49702179,0,0
49713848,0,1
49758199,0,1
49772573,0,0
49782579,1,1
49800201,0,0
49803503,0,0
49810393,0,0
49825670,0,0
49832066,1,1
49837960,1,1
49865478,1,1
49882401,0,0
49900798,0,0
49942110,1,1
49951413,0,1
49955885,0,1
49962323,1,1
49969957,0,0
50033178,0,0
50080929,0,0
50111438,1,0
50155848,1,1
50175848,1,1
50185888,1,1
50196129,0,1
50229777,1,1
50259290,0,0
50262215,0,1
50282801,1,1
50302172,0,0
50303372,1,1
50306988,0,0
50310532,0,1
50329855,0,0
50331201,1,1
50333532,1,1
50341647,1,1
50350796,0,0
50354707,0,0
50385735,0,0
50405987,0,0
50470596,1,0
50484676,0,0
50486678,1,1
50525408,0,1
50525747,0,0
50559586,0,0
50563814,1,1
50566040,0,1
50602885,0,0
50606995,0,0
50641981,0,1
50669990,0,0
50686873,0,0
50690891,0,0
50704004,1,1
50705859,1,0
50707658,0,0
50709557,0,0
50736908,0,0
50742757,1,1
50755429,0,0
50781373,1,1
50789693,1,1
50798871,1,1
50895128,0,0
50909879,0,0
50920425,0,0
50927298,1,1
50929266,0,0
50938992,0,0
50941004,0,0
50954321,0,0
50955798,0,0
50972169,0,0
50978220,0,1
50980113,0,0
51057034,0,0
51097247,1,1
51109639,1,1
51118565,1,0
51138409,0,0
51175837,1,1
51218073,0,0
51228131,1,1
51244190,0,0
51249811,0,0
51260680,0,0
51262563,0,0
51320027,1,1
51337578,0,1
51342528,1,1
51369763,1,1
51381329,0,1
51414013,0,0
51447071,0,0
51481469,1,0
51491681,0,0
51507285,0,0
51535378,0,1
51537235,0,0
51541610,0,0
51555668,0,0
51564467,0,1
51587279,1,1
51633570,0,0
51640570,0,0
51663236,0,0
51672747,0,0
51677631,1,1
51743674,0,1
51749207,0,0
51754166,0,0
51813951,1,0
51822211,0,0
51909997,0,0
51919344,0,1
51945508,0,0
51965163,1,1
51983716,1,1
51991681,1,1
51998728,1,1
52019226,1,1
52047638,0,0
52103972,0,0
52169024,0,0
52182910,1,1
52194706,0,0
52220242,0,0
52249359,1,1
52306461,1,1
52373426,0,0
52402822,0,0
52443056,1,1
52453436,1,1
52469866,0,1
52481006,0,0
52483259,1,0
52580464,0,0
52594650,0,1
52598605,0,0
52610577,0,0
52700621,1,1
52743613,1,1
52765373,0,0
52774351,1,0
52795551,0,0
52847959,1,1
52876128,1,1
52887179,0,0
52920121,0,0
52932406,0,0
52934795,0,0
52939042,0,0
52947103,0,0
52969867,1,1
52985676,1,1
53023727,1,1
53054699,0,0
53074607,1,1
53075203,1,1
53094212,0,0
53107126,0,0
53137115,1,1
53169997,1,1
